Category,Location,Map,Names,Permit
[u'\r\n\t\t\t\tType: Restaurant Total \r\n\r\n\t\t\t\t'],"[u'\r\n\t\t\t\t3301 GEORGIA AVE NW Washington, DC 20010']","http://maps.google.com/maps?q=3301 GEORGIA AVE NW Washington, DC 20010",ALFIE'S,?a=inspections&permitID=188224
[u'\r\n\t\t\t\tType: Caterer \r\n\r\n\t\t\t\t'],"[u'\r\n\t\t\t\t2619 EVARTS ST NE WASHINGTON, DC 20018']","http://maps.google.com/maps?q=2619 EVARTS ST NE WASHINGTON, DC 20018",ALIVE JUICES,?a=inspections&permitID=187376
[u'\r\n\t\t\t\tType: Delicatessen \r\n\r\n\t\t\t\t'],"[u'\r\n\t\t\t\t2414 WISCONSIN AVE NW WASHINGTON, DC 20007']","http://maps.google.com/maps?q=2414 WISCONSIN AVE NW WASHINGTON, DC 20007",ALL ABOUT BURGER,?a=inspections&permitID=188816
[u'\r\n\t\t\t\tType: Restaurant Total \r\n\r\n\t\t\t\t'],"[u'\r\n\t\t\t\t1101 4TH ST SW WASHINGTON, DC 20024']","http://maps.google.com/maps?q=1101 4TH ST SW WASHINGTON, DC 20024",ALL ABOUT BURGER,?a=inspections&permitID=188821
[u'\r\n\t\t\t\tType: Grocery Store \r\n\r\n\t\t\t\t'],"[u'\r\n\t\t\t\t1325 6TH ST NE WWASHINGTON, DC 20002']","http://maps.google.com/maps?q=1325 6TH ST NE WWASHINGTON, DC 20002",ALL AFRICAN FOOD,?a=inspections&permitID=6701
[u'\r\n\t\t\t\tType: Grocery Store \r\n\r\n\t\t\t\t'],"[u'\r\n\t\t\t\t411 MORSE ST NE APT 201 WASHINGTON, DC 20002']","http://maps.google.com/maps?q=411 MORSE ST NE WASHINGTON, DC 20002",ALL AMERICAN (African) FOOD,?a=inspections&permitID=675
[u'\r\n\t\t\t\tType: Delicatessen \r\n\r\n\t\t\t\t'],"[u'\r\n\t\t\t\t301 P ST NW WASHINGTON, DC 20001']","http://maps.google.com/maps?q=301 P ST NW WASHINGTON, DC 20001",ALL IN ONE MARKET,?a=inspections&permitID=6791
[u'\r\n\t\t\t\tType: Grocery Store \r\n\r\n\t\t\t\t'],"[u'\r\n\t\t\t\t301 P ST NW WASHINGTON, DC 20001']","http://maps.google.com/maps?q=301 P ST NW WASHINGTON, DC 20001",ALL IN ONE MARKET,?a=inspections&permitID=6425
[u'\r\n\t\t\t\tType: Food Products \r\n\r\n\t\t\t\t'],"[u'\r\n\t\t\t\t301 P ST NW WASHINGTON, DC 20001']","http://maps.google.com/maps?q=301 P ST NW WASHINGTON, DC 20001",ALL IN ONE MARKET,?a=inspections&permitID=6475
[u'\r\n\t\t\t\tType: Delicatessen \r\n\r\n\t\t\t\t'],"[u'\r\n\t\t\t\t1 FLORIDA AVE NE Washington, DC 20002']","http://maps.google.com/maps?q=1 FLORIDA AVE NE Washington, DC 20002",ALL IN ONE MARKET/EXXON,?a=inspections&permitID=173203
[u'\r\n\t\t\t\tType: Restaurant Total \r\n\r\n\t\t\t\t'],"[u'\r\n\t\t\t\t1250 9TH ST NW WASHINGTON, DC 20001']","http://maps.google.com/maps?q=1250 9TH ST NW WASHINGTON, DC 20001",ALL PURPOSE PIZZERIA,?a=inspections&permitID=188694
[u'\r\n\t\t\t\tType: Food Products \r\n\r\n\t\t\t\t'],"[u'\r\n\t\t\t\t10 THOMAS CIR NW WASHINGTON, DC 20005']","http://maps.google.com/maps?q=10 THOMAS CIR NW WASHINGTON, DC 20005",ALL SEASONS GIFTS @ WASHINGTON PLAZA HOTEL,?a=inspections&permitID=1216
[u'\r\n\t\t\t\tType: Restaurant Total \r\n\r\n\t\t\t\t'],"[u'\r\n\t\t\t\t725 T ST NW WASHINGTON, DC 20001']","http://maps.google.com/maps?q=725 T ST NW WASHINGTON, DC 20001",ALL SOULS (n),?a=inspections&permitID=148023
